epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.29,2.26287,2.24703,2.61271,0.94359,0.86898,0.9252,0.42041,1.93667,1.03643,2.71374,0.00066436,0.00066436,0.00066436
2,716.764,1.01381,0.66209,1.37481,0.85575,0.69031,0.74402,0.36841,1.88478,1.70444,2.45918,0.00127832,0.00127832,0.00127832
3,1064.52,0.86567,0.51371,1.17292,0.95803,0.93806,0.97825,0.49715,1.80235,0.72194,2.23735,0.00183948,0.00183948,0.00183948
4,1410.84,0.8102,0.4611,1.09977,0.96456,0.95904,0.97586,0.51795,1.73389,0.69825,2.20776,0.0017624,0.0017624,0.0017624
5,1746.57,0.77535,0.43266,1.06972,0.98341,0.97802,0.99177,0.57498,1.56187,0.66475,2.1049,0.0016832,0.0016832,0.0016832
6,2078.06,0.75408,0.40727,1.04891,0.98237,0.97303,0.98793,0.56922,1.63542,0.58256,2.19846,0.001604,0.001604,0.001604
7,2443.31,0.71847,0.3846,1.01668,0.97809,0.98124,0.99309,0.56026,1.65497,0.57466,2.08723,0.0015248,0.0015248,0.0015248
8,2807.11,0.70229,0.37293,1.00243,0.9846,0.96603,0.98775,0.5897,1.56194,0.54311,1.9756,0.0014456,0.0014456,0.0014456
9,3152.06,0.69497,0.36811,0.99705,0.99087,0.97594,0.99368,0.58748,1.52267,0.55036,2.00242,0.0013664,0.0013664,0.0013664
10,3494.28,0.67855,0.35967,1.0001,0.9869,0.97844,0.99345,0.60165,1.49272,0.52734,2.02371,0.0012872,0.0012872,0.0012872
11,3849.37,0.66387,0.34759,0.98789,0.98727,0.98002,0.99384,0.65502,1.32018,0.48469,1.79102,0.001208,0.001208,0.001208
12,4236.52,0.65929,0.34421,0.98928,0.9839,0.98901,0.99367,0.63413,1.34499,0.52173,1.80588,0.0011288,0.0011288,0.0011288
13,4601.14,0.64935,0.33634,0.98408,0.99195,0.98466,0.99385,0.67724,1.23693,0.46622,1.74955,0.0010496,0.0010496,0.0010496
14,4971.76,0.63414,0.32822,0.97506,0.9799,0.97303,0.99243,0.69576,1.15077,0.45352,1.60032,0.0009704,0.0009704,0.0009704
15,5336.35,0.63341,0.32164,0.97275,0.99269,0.98102,0.99363,0.67815,1.26041,0.46241,1.67521,0.0008912,0.0008912,0.0008912
16,5801.84,0.60163,0.30806,0.99334,0.98059,0.97203,0.99331,0.71789,1.08129,0.43558,1.56026,0.000812,0.000812,0.000812
17,6265.35,0.58207,0.30033,0.97434,0.99025,0.98102,0.99402,0.72714,1.05513,0.4255,1.58898,0.0007328,0.0007328,0.0007328
18,6688.53,0.56932,0.2882,0.96742,0.98399,0.98218,0.99348,0.74195,1.04691,0.4183,1.49418,0.0006536,0.0006536,0.0006536
19,7078.84,0.55942,0.28085,0.95602,0.9812,0.97502,0.99194,0.76093,0.94824,0.41151,1.40408,0.0005744,0.0005744,0.0005744
20,7458.19,0.54859,0.27455,0.94979,0.98589,0.98402,0.99355,0.7659,0.946,0.39792,1.41892,0.0004952,0.0004952,0.0004952
21,7811.71,0.53585,0.26802,0.9433,0.98801,0.98402,0.99392,0.78103,0.92105,0.39488,1.39501,0.000416,0.000416,0.000416
22,8159.66,0.5271,0.26007,0.93545,0.99079,0.98302,0.99381,0.78649,0.91611,0.38521,1.38895,0.0003368,0.0003368,0.0003368
23,8526.1,0.51933,0.25,0.9318,0.98793,0.98119,0.99348,0.78441,0.90819,0.38096,1.37965,0.0002576,0.0002576,0.0002576
24,8877.59,0.50936,0.24359,0.92747,0.9859,0.97766,0.99319,0.79473,0.86273,0.36711,1.3227,0.0001784,0.0001784,0.0001784
25,9222.89,0.50033,0.2365,0.92151,0.98943,0.97902,0.99325,0.796,0.86595,0.36682,1.33309,9.92e-05,9.92e-05,9.92e-05
