epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.134,2.26287,2.24703,2.61271,0.94335,0.86499,0.92087,0.41861,1.93667,1.03643,2.71374,0.00066436,0.00066436,0.00066436
2,701.517,1.01241,0.66616,1.37832,0.97624,0.92807,0.96311,0.51778,1.74267,0.74787,2.50145,0.00126514,0.00126514,0.00126514
3,1057.22,0.85774,0.515,1.17261,0.96739,0.95105,0.97667,0.5218,1.70885,0.80249,2.42235,0.00179992,0.00179992,0.00179992
4,1395.79,0.79837,0.46506,1.09751,0.97004,0.97003,0.98681,0.53517,1.76646,0.60936,2.27533,0.001703,0.001703,0.001703
5,1738.29,0.76487,0.42546,1.05871,0.97997,0.97759,0.99232,0.5438,1.53429,0.62015,2.10607,0.001604,0.001604,0.001604
6,2062.92,0.73819,0.40424,1.05295,0.97334,0.95305,0.97417,0.53152,1.58582,0.63895,2.11681,0.001505,0.001505,0.001505
7,2406.99,0.70897,0.38226,1.02755,0.9851,0.99041,0.99415,0.57137,1.53038,0.53916,2.01223,0.001406,0.001406,0.001406
8,2773.39,0.68512,0.36894,1.00541,0.98298,0.95504,0.98877,0.59819,1.44678,0.56466,1.92815,0.001307,0.001307,0.001307
9,3116.65,0.68398,0.36255,0.99913,0.97518,0.98138,0.99301,0.62739,1.41579,0.51489,1.88653,0.001208,0.001208,0.001208
10,3466.94,0.66666,0.35193,0.99818,0.991,0.9904,0.99387,0.61951,1.42096,0.49117,1.93284,0.001109,0.001109,0.001109
11,3861.19,0.62669,0.32981,1.00627,0.98383,0.97228,0.9931,0.68757,1.17719,0.47829,1.63336,0.00101,0.00101,0.00101
12,4240.12,0.61943,0.32294,0.99746,0.98997,0.98569,0.99376,0.70185,1.12641,0.4497,1.62577,0.000911,0.000911,0.000911
13,4594.61,0.61132,0.31494,0.9903,0.98779,0.97009,0.99301,0.65197,1.37452,0.49196,1.80849,0.000812,0.000812,0.000812
14,4932.27,0.59822,0.29893,0.98674,0.99187,0.97548,0.9935,0.68587,1.1669,0.44526,1.63433,0.000713,0.000713,0.000713
15,5305.94,0.58559,0.29223,0.971,0.99083,0.97902,0.99399,0.72644,1.08039,0.43714,1.50859,0.000614,0.000614,0.000614
16,5684.11,0.57045,0.28224,0.95859,0.99188,0.976,0.99327,0.75723,0.97269,0.42428,1.44151,0.000515,0.000515,0.000515
17,6059.03,0.55237,0.27405,0.94861,0.99018,0.99201,0.99414,0.73554,1.04162,0.40197,1.51471,0.000416,0.000416,0.000416
18,6387.87,0.54442,0.26443,0.94296,0.98987,0.98901,0.99396,0.74478,0.99569,0.38742,1.46805,0.000317,0.000317,0.000317
19,6713.59,0.53267,0.25499,0.93634,0.99395,0.98537,0.99394,0.75867,1.00378,0.38987,1.48027,0.000218,0.000218,0.000218
20,7051.94,0.52084,0.2486,0.92891,0.98802,0.98843,0.99385,0.7756,0.92512,0.37186,1.41608,0.000119,0.000119,0.000119
