epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1064.61,2.01659,1.89847,2.37187,0.96903,0.95604,0.9772,0.50149,1.75227,0.85724,2.38816,0.000665743,0.000665743,0.000665743
2,1969.32,0.95877,0.60818,1.2878,0.97299,0.95704,0.9765,0.52373,1.67397,0.71222,2.46437,0.00126646,0.00126646,0.00126646
3,4061.93,0.84588,0.50006,1.14403,0.98645,0.94579,0.98038,0.53665,1.59417,0.61045,2.02736,0.00180117,0.00180117,0.00180117
4,4501.52,0.79972,0.44827,1.09169,0.97834,0.98102,0.99078,0.59311,1.5214,0.55709,2.05071,0.001703,0.001703,0.001703
5,7386.45,0.76635,0.42217,1.05463,0.97647,0.97502,0.99309,0.58944,1.52906,0.57041,2.03792,0.001604,0.001604,0.001604
6,8774.54,0.75381,0.40321,1.03919,0.98447,0.96703,0.98773,0.57377,1.51267,0.56819,1.90922,0.001505,0.001505,0.001505
7,9255.48,0.72966,0.38391,1.01985,0.98577,0.97103,0.99307,0.59172,1.5591,0.52603,2.02722,0.001406,0.001406,0.001406
8,9555.39,0.70243,0.3687,1.00696,0.99092,0.98094,0.99353,0.61711,1.44857,0.52481,1.93692,0.001307,0.001307,0.001307
9,9849.63,0.70226,0.36219,0.99953,0.98879,0.98501,0.99334,0.59705,1.49192,0.49195,2.02112,0.001208,0.001208,0.001208
10,10144,0.68495,0.35034,0.9932,0.98467,0.96267,0.99072,0.64187,1.33601,0.5025,1.74634,0.001109,0.001109,0.001109
11,10452.6,0.67285,0.32937,0.98734,0.99095,0.98501,0.99431,0.64723,1.3293,0.45012,1.85676,0.00101,0.00101,0.00101
12,10754.8,0.67619,0.3239,0.98352,0.98667,0.96503,0.99251,0.68884,1.23123,0.46781,1.64018,0.000911,0.000911,0.000911
13,11038.8,0.66394,0.31608,0.97621,0.98993,0.98217,0.99369,0.66071,1.33745,0.46894,1.78124,0.000812,0.000812,0.000812
14,11315.9,0.65155,0.30659,0.96978,0.99561,0.97702,0.99373,0.69238,1.19772,0.44214,1.63854,0.000713,0.000713,0.000713
15,11594.5,0.63642,0.29781,0.9531,0.99022,0.98701,0.99382,0.7235,1.13229,0.42667,1.56111,0.000614,0.000614,0.000614
16,11863.8,0.62425,0.28953,0.9486,0.99593,0.97709,0.99369,0.75135,1.06073,0.4019,1.51904,0.000515,0.000515,0.000515
17,12133,0.61017,0.28092,0.9378,0.98779,0.99001,0.99415,0.71631,1.1368,0.41451,1.61101,0.000416,0.000416,0.000416
18,12400.5,0.60499,0.27561,0.93212,0.98429,0.98901,0.99413,0.73816,1.07988,0.40336,1.5564,0.000317,0.000317,0.000317
19,12811.2,0.59392,0.26782,0.92098,0.99494,0.98284,0.99385,0.74597,1.07347,0.38583,1.52463,0.000218,0.000218,0.000218
20,13074.8,0.57707,0.25965,0.91574,0.99418,0.98601,0.99412,0.75848,1.02607,0.38522,1.48793,0.000119,0.000119,0.000119
