epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.642,2.12703,1.94784,2.30011,0,0,0,0,0,0,0,0.000665743,0.000665743,0.000665743
2,346.846,0.96244,0.58248,1.21047,0,0,0,0,0,0,0,0.0012005,0.0012005,0.0012005
3,491.672,0.84176,0.47373,1.06138,0,0,0,0,0,0,0,0.00160326,0.00160326,0.00160326
4,628.891,0.78259,0.43598,1.01444,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
5,762.966,0.74232,0.40295,0.98165,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
6,895.387,0.70696,0.37386,0.95442,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,1028.29,0.67744,0.3536,0.93215,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
8,1291.3,0.65592,0.33615,0.92118,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
9,1422.6,0.63815,0.32142,0.91362,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
10,1591.79,0.61927,0.30614,0.9018,0.99393,0.98185,0.9942,0.6294,1.44638,0.48844,1.49679,0.000218,0.000218,0.000218
