epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.298,2.14794,2.0689,2.47797,0.92922,0.8991,0.93909,0.41331,2.05367,1.30202,3.87367,0.000665281,0.000665281,0.000665281
2,829.334,0.98068,0.62884,1.31865,0.97145,0.95168,0.96714,0.49425,1.76515,0.71568,2.46476,0.00128799,0.00128799,0.00128799
3,1221.32,0.85532,0.50395,1.158,0.99297,0.84714,0.89348,0.50025,1.55074,0.97551,2.06412,0.00186671,0.00186671,0.00186671
4,1579.99,0.81527,0.46854,1.10868,0.9838,0.97303,0.98721,0.58252,1.49291,0.56405,2.08465,0.001802,0.001802,0.001802
5,1946.63,0.75818,0.4387,1.06389,0.98256,0.97902,0.98862,0.62367,1.4601,0.57164,2.00807,0.001736,0.001736,0.001736
6,2288.13,0.74372,0.41475,1.0485,0.98897,0.98486,0.99242,0.57253,1.4997,0.58142,2.21905,0.00167,0.00167,0.00167
7,2641.74,0.73049,0.3981,1.03649,0.98311,0.98851,0.9937,0.57599,1.5656,0.53874,2.12389,0.001604,0.001604,0.001604
8,2971.62,0.69661,0.38211,1.01493,0.98828,0.98202,0.99359,0.58906,1.38393,0.53517,1.91284,0.001538,0.001538,0.001538
9,3296.53,0.69577,0.37817,1.01185,0.99267,0.96803,0.98844,0.6106,1.43948,0.54185,1.91188,0.001472,0.001472,0.001472
10,3628.27,0.67406,0.37081,1.0006,0.99183,0.97031,0.98167,0.57099,1.43869,0.58579,1.89396,0.001406,0.001406,0.001406
11,3921.58,0.67175,0.36069,0.99862,0.99096,0.98525,0.99378,0.62218,1.4391,0.51457,1.91925,0.00134,0.00134,0.00134
12,4212.47,0.65975,0.35341,0.99232,0.99031,0.98202,0.99438,0.64074,1.40604,0.53402,1.85705,0.001274,0.001274,0.001274
13,4510.92,0.65116,0.34432,0.98829,0.99101,0.99069,0.99446,0.67301,1.27967,0.4688,1.71654,0.001208,0.001208,0.001208
14,4796.33,0.63034,0.3364,0.97638,0.99499,0.96503,0.9923,0.72307,1.09421,0.46368,1.53718,0.001142,0.001142,0.001142
15,5143.23,0.62072,0.33031,0.96912,0.99201,0.98302,0.99403,0.68528,1.23144,0.45628,1.66934,0.001076,0.001076,0.001076
16,5428.8,0.62039,0.33175,0.97407,0.9918,0.98302,0.99433,0.70499,1.10012,0.43337,1.55074,0.00101,0.00101,0.00101
17,5725.2,0.61475,0.32305,0.96752,0.98802,0.98854,0.99418,0.68873,1.17929,0.41761,1.63714,0.000944,0.000944,0.000944
18,6008.85,0.60191,0.31436,0.96374,0.98702,0.97103,0.99148,0.71862,1.06853,0.46246,1.51695,0.000878,0.000878,0.000878
19,6282.37,0.59177,0.30963,0.95511,0.99196,0.98624,0.99387,0.73812,1.03741,0.44408,1.51273,0.000812,0.000812,0.000812
20,6564.12,0.5912,0.30439,0.95571,0.993,0.99155,0.99436,0.71568,1.09619,0.42237,1.53995,0.000746,0.000746,0.000746
21,7761.47,0.55996,0.2909,0.95603,0.98609,0.99122,0.99386,0.71761,1.10604,0.42399,1.60916,0.00068,0.00068,0.00068
22,8072.16,0.55338,0.28513,0.95351,0.99291,0.98,0.99389,0.73291,1.06489,0.39774,1.55002,0.000614,0.000614,0.000614
23,8361.34,0.54666,0.27434,0.95202,0.98699,0.98202,0.99368,0.74381,1.03445,0.39665,1.50379,0.000548,0.000548,0.000548
24,8652.44,0.54014,0.27277,0.94504,0.99189,0.97779,0.99372,0.74484,1.03035,0.39194,1.48718,0.000482,0.000482,0.000482
25,8949.73,0.53769,0.26843,0.94613,0.98993,0.98254,0.99389,0.7702,0.97575,0.4105,1.44358,0.000416,0.000416,0.000416
26,9217.95,0.5278,0.25823,0.93648,0.98422,0.97403,0.99279,0.76974,0.93014,0.38333,1.39795,0.00035,0.00035,0.00035
27,9501.17,0.52318,0.25089,0.93611,0.99311,0.97702,0.99376,0.76094,0.98052,0.38907,1.46034,0.000284,0.000284,0.000284
28,9766.28,0.51496,0.24713,0.933,0.99088,0.97636,0.99338,0.7579,0.98157,0.3936,1.45432,0.000218,0.000218,0.000218
29,10023.8,0.50909,0.24239,0.92608,0.99488,0.98002,0.99384,0.75799,0.97077,0.37702,1.47107,0.000152,0.000152,0.000152
30,10289.8,0.50451,0.2389,0.9235,0.99232,0.98202,0.99373,0.76941,0.95825,0.37908,1.4398,8.6e-05,8.6e-05,8.6e-05
